Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0006-3.tif (RGB),P42-65 V1,red channel puncta,1646,16.94835966,97.72296476,135.9070474,113.0277813,green channel puncta,2484,7.319243156,141.7274557,189.1972625,167.3914184,blue channel puncta,-,-,-,-,-,colocalized puncta,358,22.03351955,119.0977654,170.1955307,142.6691214
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0006-4.tif (RGB),P42-65 V1,red channel puncta,1944,19.09876543,106.7638889,144.9007202,122.6586962,green channel puncta,3740,8.385294118,116.3125668,174.2510695,143.9975434,blue channel puncta,-,-,-,-,-,colocalized puncta,585,30.5042735,110.6940171,167.6435897,136.1740367
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0006-5.tif (RGB),P42-65 V1,red channel puncta,2505,23.97684631,110.6822355,149.0718563,127.076261,green channel puncta,4333,9.149780752,100.6187399,159.797369,126.4436675,blue channel puncta,-,-,-,-,-,colocalized puncta,930,41.18548387,104.7569892,161.9150538,129.355718
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0007-1.tif (RGB),P42-65 V1,red channel puncta,2554,15.9330462,71.45497259,103.6981206,83.60941725,green channel puncta,4227,8.897326709,112.9756328,169.4525668,139.8987865,blue channel puncta,-,-,-,-,-,colocalized puncta,899,27.78253615,91.56952169,145.1117909,114.4643396
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0007-2.tif (RGB),P42-65 V1,red channel puncta,2063,15.43674261,78.44062046,110.7464857,90.6976489,green channel puncta,2736,7.64875731,125.2649854,179.4122807,152.2274181,blue channel puncta,-,-,-,-,-,colocalized puncta,462,22.68939394,101.0606061,153.54329,123.7052898
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0007-3.tif (RGB),P42-65 V1,red channel puncta,2113,17.23047799,84.47988642,119.5447231,97.78084613,green channel puncta,2550,7.354509804,126.5517647,179.5858824,153.1243791,blue channel puncta,-,-,-,-,-,colocalized puncta,470,25.02021277,104.5117021,158.0957447,127.675756
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0007-4.tif (RGB),P42-65 V1,red channel puncta,2019,19.27340267,95.49479941,133.842001,110.5524207,green channel puncta,4175,8.77508982,106.5137725,164.1405988,132.4832241,blue channel puncta,-,-,-,-,-,colocalized puncta,706,28.56869688,99.87889518,158.5651558,124.2236431
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0007-5.tif (RGB),P42-65 V1,red channel puncta,2304,20.55685764,107.6388889,145.9318576,123.4344993,green channel puncta,3315,7.997285068,112.760181,168.0760181,138.1203917,blue channel puncta,-,-,-,-,-,colocalized puncta,619,36.04765751,109.4846527,165.8626817,133.7031178
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0008-1.tif (RGB),P42-65 V1,red channel puncta,2403,13.94923013,75.69330004,110.5647108,89.13539526,green channel puncta,3650,8.396986301,124.5482192,176.9145205,151.0441628,blue channel puncta,-,-,-,-,-,colocalized puncta,602,17.38787375,99.39784053,150.589701,122.4220679
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0008-2.tif (RGB),P42-65 V1,red channel puncta,2980,15.98322148,70.53892617,104.3446309,83.31124841,green channel puncta,4324,8.889916744,112.8057354,170.1688252,139.9674906,blue channel puncta,-,-,-,-,-,colocalized puncta,957,22.76959248,91.04231975,145.6854754,114.2520563
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0008-3.tif (RGB),P42-65 V1,red channel puncta,2517,16.76360747,77.51092571,113.0584029,91.01459553,green channel puncta,4497,9.365577051,109.3924839,168.5819435,136.7562758,blue channel puncta,-,-,-,-,-,colocalized puncta,856,25.02978972,92.92464953,150.9433411,117.0124553
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0008-4.tif (RGB),P42-65 V1,red channel puncta,2547,19.01727523,82.53278367,119.477817,96.48124312,green channel puncta,4370,9.166590389,109.4979405,167.8588101,136.2929594,blue channel puncta,-,-,-,-,-,colocalized puncta,894,34.7533557,95.07158837,153.9860179,119.1877084
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0008-5.tif (RGB),P42-65 V1,red channel puncta,2733,22.043176,88.43578485,127.2451518,103.2919953,green channel puncta,2830,7.885159011,127.0070671,179.1120141,153.0309656,blue channel puncta,-,-,-,-,-,colocalized puncta,624,43.74599359,106.7203526,162.7387821,131.1556825
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0009-1.tif (RGB),P42-65 V1,red channel puncta,3261,18.17939282,65.36338546,99.99172033,78.2053671,green channel puncta,4091,9.260083109,116.1014422,171.3243706,142.8804579,blue channel puncta,-,-,-,-,-,colocalized puncta,1005,30,90.02338308,146.0278607,113.5373673
