Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0006-5.tif (RGB),P42-65 V2,red channel puncta,2450,28.32530612,80.73306122,139.7481633,103.2163059,green channel puncta,2826,11.02229299,128.6295117,178.2466384,151.1271809,blue channel puncta,-,-,-,-,-,colocalized puncta,735,44.43605442,103.9435374,172.5333333,131.0414309
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0007-1.tif (RGB),P42-65 V2,red channel puncta,2869,27.53851516,99.47124434,165.2994075,127.141116,green channel puncta,3792,9.72257384,85.28401899,138.0722574,106.8316414,blue channel puncta,-,-,-,-,-,colocalized puncta,1010,35.82574257,91.96881188,165.1623762,122.1747055
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0007-2.tif (RGB),P42-65 V2,red channel puncta,2578,23.0007758,106.6656323,168.4297905,133.1150898,green channel puncta,2821,9.137539879,95.91669621,147.9727047,117.8003586,blue channel puncta,-,-,-,-,-,colocalized puncta,603,27.19568823,100.7429519,169.6492537,130.1435864
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0007-3.tif (RGB),P42-65 V2,red channel puncta,2669,25.91757212,99.29186961,162.6459348,125.3696553,green channel puncta,3306,9.710223835,98.5,148.1421658,119.0198476,blue channel puncta,-,-,-,-,-,colocalized puncta,810,32.74259259,98.29567901,167.8425926,126.8941752
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0007-4.tif (RGB),P42-65 V2,red channel puncta,2741,27.84604159,92.01240423,156.7541043,117.6737467,green channel puncta,3109,10.54551303,110.4467674,161.0665809,131.9515693,blue channel puncta,-,-,-,-,-,colocalized puncta,840,34.55892857,100.5190476,173.5452381,129.7373782
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0007-5.tif (RGB),P42-65 V2,red channel puncta,2691,28.58788554,83.84057971,146.4730583,107.8654967,green channel puncta,3047,11.01247128,124.7167706,174.7374467,147.2137792,blue channel puncta,-,-,-,-,-,colocalized puncta,857,40.75262544,103.4054842,175.911902,132.3377362
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0008-1.tif (RGB),P42-65 V2,red channel puncta,2620,31.44847328,88.44160305,155.8118321,115.7560317,green channel puncta,3488,9.981938073,85.34030963,138.4094037,106.8593132,blue channel puncta,-,-,-,-,-,colocalized puncta,909,44.169967,86.51210121,162.1776678,117.4057889
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0008-2.tif (RGB),P42-65 V2,red channel puncta,2341,27.27424178,93.35668518,159.2007689,120.5094534,green channel puncta,3742,10.52004276,81.83030465,132.4323891,101.929376,blue channel puncta,-,-,-,-,-,colocalized puncta,826,37.10048426,87.19673123,161.4527845,117.0972851
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0008-3.tif (RGB),P42-65 V2,red channel puncta,2329,27.96994418,89.11077716,154.0910262,114.9429202,green channel puncta,3779,11.34506483,86.73987827,137.055041,106.8011117,blue channel puncta,-,-,-,-,-,colocalized puncta,828,36.73852657,87.35205314,158.8266908,114.9019805
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0008-4.tif (RGB),P42-65 V2,red channel puncta,2256,29.10062057,83.9929078,147.910461,108.9349826,green channel puncta,3369,11.4951024,100.8693974,151.6565747,121.7116363,blue channel puncta,-,-,-,-,-,colocalized puncta,765,38.36862745,91.70718954,163.1529412,119.4649051
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0008-5.tif (RGB),P42-65 V2,red channel puncta,2165,29.52424942,78.73163972,142.0540416,102.8798294,green channel puncta,3617,13.54354437,109.9048936,162.3643904,131.7548192,blue channel puncta,-,-,-,-,-,colocalized puncta,914,42.54102845,93.62089716,166.8085339,121.4545155
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0009-1.tif (RGB),P42-65 V2,red channel puncta,2464,29.2325487,88.33847403,156.8356331,115.9951821,green channel puncta,4493,11.15357222,79.7616292,132.0723347,100.608025,blue channel puncta,-,-,-,-,-,colocalized puncta,1076,38.01254647,83.43959108,160.579461,113.781376
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0009-2.tif (RGB),P42-65 V2,red channel puncta,2475,28.79272727,85.13656566,151.1951515,111.1615001,green channel puncta,4526,11.08749448,79.70503756,129.4111798,99.33134002,blue channel puncta,-,-,-,-,-,colocalized puncta,1098,41.44034608,81.84517304,155.9521858,110.5085579
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0009-3.tif (RGB),P42-65 V2,red channel puncta,2212,28.43987342,88.31600362,153.3607595,114.1279441,green channel puncta,4176,11.12859195,89.94755747,140.3721264,110.3134674,blue channel puncta,-,-,-,-,-,colocalized puncta,934,39.05460385,88.37152034,162.3576017,117.3036978
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0009-4.tif (RGB),P42-65 V2,red channel puncta,2369,34.24356268,74.64288729,139.386661,98.72678204,green channel puncta,4100,12.34853659,100.6536585,151.3704878,121.3819505,blue channel puncta,-,-,-,-,-,colocalized puncta,1089,58.78879706,86.92102847,163.5316804,115.576822
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0009-5.tif (RGB),P42-65 V2,red channel puncta,2075,30.04289157,77.73975904,142.2539759,102.3389264,green channel puncta,3126,11.48240563,123.4798464,174.0892514,145.9954833,blue channel puncta,-,-,-,-,-,colocalized puncta,750,46.73866667,100.0346667,173.5813333,129.1096725
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0010-1.tif (RGB),P42-65 V2,red channel puncta,2375,25.59073684,117.6058947,175.3494737,143.4322089,green channel puncta,3662,7.553522665,77.25641726,132.1406335,99.97886794,blue channel puncta,-,-,-,-,-,colocalized puncta,771,29.07068742,97.32749676,163.7354086,126.5715585
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0010-2.tif (RGB),P42-65 V2,red channel puncta,1957,19.89882473,134.147164,184.8737864,157.8998907,green channel puncta,3931,7.52047825,75.16687866,128.423302,96.95440046,blue channel puncta,-,-,-,-,-,colocalized puncta,579,19.77115717,104.3618307,165.7132988,131.4049657
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0010-3.tif (RGB),P42-65 V2,red channel puncta,2678,29.83868559,102.0903659,162.4492158,126.8859016,green channel puncta,4447,8.171126602,72.22644479,122.1956375,92.19741422,blue channel puncta,-,-,-,-,-,colocalized puncta,1055,38.31232227,86.79004739,154.8791469,114.234049
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0010-4.tif (RGB),P42-65 V2,red channel puncta,2403,29.81939243,101.9359134,162.7773616,126.785532,green channel puncta,4173,8.577282531,73.80589504,121.2005751,92.57787911,blue channel puncta,-,-,-,-,-,colocalized puncta,909,38.24752475,87.51430143,152.9642464,113.7838349
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0010-5.tif (RGB),P42-65 V2,red channel puncta,2321,31.78845325,92.75958639,154.6958208,116.8202929,green channel puncta,3428,8.470245041,76.70361727,119.1756126,93.57600216,blue channel puncta,-,-,-,-,-,colocalized puncta,810,47.84938272,84.1691358,150.9253086,109.6092643
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0011-1.tif (RGB),P42-65 V2,red channel puncta,2281,26.24419114,108.7926348,172.0254274,136.6893441,green channel puncta,4008,8.446606786,88.37724551,145.8530439,112.4348973,blue channel puncta,-,-,-,-,-,colocalized puncta,913,31.26341731,98.033954,170.4446878,129.6318579
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0011-2.tif (RGB),P42-65 V2,red channel puncta,2130,24.65492958,107.8098592,169.7356808,134.5371391,green channel puncta,3818,8.407543216,91.41959141,148.5170246,115.2626735,blue channel puncta,-,-,-,-,-,colocalized puncta,812,27.79248768,98.94827586,169.0855911,129.0630573
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0011-3.tif (RGB),P42-65 V2,red channel puncta,2597,31.38159415,85.1451675,148.0619946,109.576632,green channel puncta,3794,8.707169215,97.2459146,151.9048498,120.1888901,blue channel puncta,-,-,-,-,-,colocalized puncta,1086,41.51427256,90.34162063,164.5119705,119.4893373
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0011-4.tif (RGB),P42-65 V2,red channel puncta,1810,25.17403315,101.3055249,161.9878453,126.2291323,green channel puncta,3630,9.06969697,103.5650138,154.2966942,124.813374,blue channel puncta,-,-,-,-,-,colocalized puncta,684,32.81871345,101.6388889,170.7178363,129.983088
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0011-5.tif (RGB),P42-65 V2,red channel puncta,2045,31.57750611,73.50464548,133.3217604,95.57091345,green channel puncta,3428,10.16540257,104.09014,154.3494749,124.789039,blue channel puncta,-,-,-,-,-,colocalized puncta,841,43.11652794,88.14209275,160.9887039,115.1523494
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0012-1.tif (RGB),P42-65 V2,red channel puncta,2427,25.23073754,117.2051916,179.999588,146.4612533,green channel puncta,3988,8.409478435,81.36509529,142.6504514,106.5664295,blue channel puncta,-,-,-,-,-,colocalized puncta,982,28.22556008,98.70010183,172.1929735,131.594718
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0012-2.tif (RGB),P42-65 V2,red channel puncta,2589,27.65083044,102.619158,167.7238316,130.4179942,green channel puncta,3786,8.025092446,81.49286846,139.9535129,105.5561978,blue channel puncta,-,-,-,-,-,colocalized puncta,981,33.20183486,91.61264016,167.2115189,123.6925394
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0012-3.tif (RGB),P42-65 V2,red channel puncta,2211,23.19402985,113.7625509,175.0135685,140.7481862,green channel puncta,2930,7.422525597,91.16484642,149.0989761,115.5095525,blue channel puncta,-,-,-,-,-,colocalized puncta,655,25.19312977,102.0015267,173.8526718,133.0526835
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0012-4.tif (RGB),P42-65 V2,red channel puncta,2300,26.68956522,102.2656522,166.8878261,129.1268093,green channel puncta,3554,7.929093979,87.2844682,140.6102983,109.2658569,blue channel puncta,-,-,-,-,-,colocalized puncta,821,32.08099878,93.90316687,166.411084,123.8386601
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0012-5.tif (RGB),P42-65 V2,red channel puncta,1966,23.27772126,107.4364191,168.6632757,132.963738,green channel puncta,3075,8.247804878,92.89658537,144.8617886,114.4932911,blue channel puncta,-,-,-,-,-,colocalized puncta,571,28.04991243,99.26795096,166.4334501,126.8548131
