Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0006-3.tif (RGB),P21-42 V2,red channel puncta,2254,28.70718722,119.5989352,183.8473824,149.2640689,green channel puncta,4678,10.03783668,90.77490381,148.0502351,114.4975465,blue channel puncta,-,-,-,-,-,colocalized puncta,951,36.1997897,104.4963197,175.5273396,136.9820028
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0006-4.tif (RGB),P21-42 V2,red channel puncta,2626,38.30007616,94.09558264,164.8983244,123.393316,green channel puncta,4723,10.54689816,92.3768791,146.8174889,114.7729168,blue channel puncta,-,-,-,-,-,colocalized puncta,1365,58.68754579,92.4956044,169.6641026,124.3913903
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0006-5.tif (RGB),P21-42 V2,red channel puncta,2180,30.97110092,107.2444954,173.9701835,136.3132887,green channel puncta,3580,10.04273743,105.8413408,157.9036313,127.969056,blue channel puncta,-,-,-,-,-,colocalized puncta,788,38.91560914,106.0196701,178.2214467,137.714284
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0007-1.tif (RGB),P21-42 V2,red channel puncta,2248,26.93594306,134.2740214,189.2949288,161.9326566,green channel puncta,3762,9.061669325,110.4165338,167.6443381,136.7979744,blue channel puncta,-,-,-,-,-,colocalized puncta,687,30.86026201,122.0021834,183.5451237,152.7321388
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0007-2.tif (RGB),P21-42 V2,red channel puncta,2737,33.26269638,107.4475703,172.0526123,136.0229263,green channel puncta,4172,9.685282838,101.4235379,158.6483701,126.239486,blue channel puncta,-,-,-,-,-,colocalized puncta,1073,43.84575955,103.8168686,174.7823858,135.6817833
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0007-3.tif (RGB),P21-42 V2,red channel puncta,2444,29.21440262,116.5351882,178.1211129,144.6060109,green channel puncta,4328,10.22874307,104.0822551,159.4318392,128.0316562,blue channel puncta,-,-,-,-,-,colocalized puncta,982,38.33961303,109.5509165,177.5412424,140.7335131
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0007-4.tif (RGB),P21-42 V2,red channel puncta,2160,27.29953704,121.5078704,181.2148148,148.8339469,green channel puncta,3451,9.573456969,118.5299913,170.4100261,142.2180432,blue channel puncta,-,-,-,-,-,colocalized puncta,691,34.89435601,119.4109986,183.3552822,149.4595581
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0007-5.tif (RGB),P21-42 V2,red channel puncta,2387,31.80561374,102.1055718,167.8194386,129.5828548,green channel puncta,3492,10.94358534,123.1428981,175.5220504,147.2643205,blue channel puncta,-,-,-,-,-,colocalized puncta,956,42.31589958,111.8179916,183.5591004,143.456358
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0008-1.tif (RGB),P21-42 V2,red channel puncta,2491,25.42392613,130.3103171,185.8137294,158.1628421,green channel puncta,4669,9.960376954,106.7905333,164.3163418,132.7209347,blue channel puncta,-,-,-,-,-,colocalized puncta,982,32.24032587,117.8294297,180.8976578,149.0175181
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0008-2.tif (RGB),P21-42 V2,red channel puncta,2739,26.79225995,115.6630157,175.5859803,143.4704832,green channel puncta,4137,9.388929176,112.2470389,167.4007735,137.6517072,blue channel puncta,-,-,-,-,-,colocalized puncta,926,33.12904968,113.5523758,179.2386609,145.0148759
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0008-3.tif (RGB),P21-42 V2,red channel puncta,2578,26.15011637,117.6183088,176.935609,144.9734701,green channel puncta,4049,9.666831316,116.9431959,169.5309953,141.4904658,blue channel puncta,-,-,-,-,-,colocalized puncta,868,34.69009217,116.4112903,179.6739631,146.3199611
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0008-4.tif (RGB),P21-42 V2,red channel puncta,2467,26.10093231,115.5464126,175.328334,142.8445657,green channel puncta,3512,9.292710706,129.0096811,175.3724374,151.686733,blue channel puncta,-,-,-,-,-,colocalized puncta,722,31.13504155,121.683518,181.7132964,150.6436134
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0008-5.tif (RGB),P21-42 V2,red channel puncta,2418,29.28908189,106.242349,167.3933002,132.5454114,green channel puncta,3302,9.961841308,136.2534827,177.0363416,156.4026814,blue channel puncta,-,-,-,-,-,colocalized puncta,772,38.73639896,120.2901554,180.7908031,148.1158493
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0009-1.tif (RGB),P21-42 V2,red channel puncta,3086,30.12605314,120.0495787,180.544394,149.2274527,green channel puncta,4618,9.733217843,102.2873538,163.9571243,130.2786001,blue channel puncta,-,-,-,-,-,colocalized puncta,1232,39.12702922,110.6741071,180.205763,144.2989791
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0009-2.tif (RGB),P21-42 V2,red channel puncta,2764,24.46743849,129.3447902,185.4992764,156.9635874,green channel puncta,4041,8.606533036,100.6349913,162.7030438,128.5986282,blue channel puncta,-,-,-,-,-,colocalized puncta,851,27.62690952,114.6539365,182.3719154,147.5804525
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0009-3.tif (RGB),P21-42 V2,red channel puncta,2783,23.72619475,127.4416098,184.5368308,155.0630478,green channel puncta,4505,8.998446171,94.13207547,156.5851276,121.1592409,blue channel puncta,-,-,-,-,-,colocalized puncta,929,26.93541442,110.3423036,178.8116254,142.539903
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0009-4.tif (RGB),P21-42 V2,red channel puncta,3070,26.80130293,113.9009772,176.0221498,142.1797836,green channel puncta,3827,8.573295009,102.7750196,164.6417559,130.3145147,blue channel puncta,-,-,-,-,-,colocalized puncta,901,29.98890122,107.8867925,179.4162042,140.8621813
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0009-5.tif (RGB),P21-42 V2,red channel puncta,2655,23.98719397,125.1898305,182.1578154,152.0637892,green channel puncta,3469,8.336408187,107.4471029,165.9406169,133.706949,blue channel puncta,-,-,-,-,-,colocalized puncta,709,28.56276446,115.8878702,180.8631876,146.7676956
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0010-1.tif (RGB),P21-42 V2,red channel puncta,2969,30.71775008,112.8039744,176.5149882,142.1224932,green channel puncta,3481,8.905774203,106.093364,163.5656421,132.1675168,blue channel puncta,-,-,-,-,-,colocalized puncta,939,41.3029819,109.2502662,179.5319489,142.8459171
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0010-2.tif (RGB),P21-42 V2,red channel puncta,2676,25.84043348,121.1341555,180.2238416,149.0243861,green channel puncta,4287,9.510846746,99.26801959,155.9246559,123.828861,blue channel puncta,-,-,-,-,-,colocalized puncta,929,30.22443488,109.8051668,177.0204521,141.173129
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0010-3.tif (RGB),P21-42 V2,red channel puncta,2575,26.71378641,117.9945631,179.3495146,146.1906907,green channel puncta,3543,9.223539373,111.8168219,166.3065199,136.4785107,blue channel puncta,-,-,-,-,-,colocalized puncta,751,30.85885486,114.2849534,180.5965379,145.2800015
